item.type,item.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value
uri,http://www.wikidata.org/entity/Q5800500,en,literal,Davos Seaworth
uri,http://www.wikidata.org/entity/Q5959381,en,literal,Khal Drogo
uri,http://www.wikidata.org/entity/Q1120793,en,literal,Theon Greyjoy
uri,http://www.wikidata.org/entity/Q3472490,en,literal,Sansa Stark
uri,http://www.wikidata.org/entity/Q12900933,en,literal,Margaery Tyrell
uri,http://www.wikidata.org/entity/Q12899075,en,literal,Bronn
uri,http://www.wikidata.org/entity/Q18920137,en,literal,Loras Tyrell
uri,http://www.wikidata.org/entity/Q20190268,en,literal,Victarion Greyjoy
uri,http://www.wikidata.org/entity/Q2076759,en,literal,Tyrion Lannister
uri,http://www.wikidata.org/entity/Q21006944,en,literal,Arianne Martell
uri,http://www.wikidata.org/entity/Q11703515,en,literal,Samwell Tarly
uri,http://www.wikidata.org/entity/Q12056060,en,literal,Stannis Baratheon
uri,http://www.wikidata.org/entity/Q3665163,en,literal,Cersei Lannister
uri,http://www.wikidata.org/entity/Q12815803,en,literal,Rickon Stark
uri,http://www.wikidata.org/entity/Q12902594,en,literal,Viserys Targaryen
uri,http://www.wikidata.org/entity/Q3624677,en,literal,Arya Stark
uri,http://www.wikidata.org/entity/Q23730388,en,literal,Joanna Lannister
uri,http://www.wikidata.org/entity/Q23745735,en,literal,Steffon Baratheon
uri,http://www.wikidata.org/entity/Q23747242,en,literal,Shireen Baratheon
uri,http://www.wikidata.org/entity/Q23758900,en,literal,Kevan Lannister
uri,http://www.wikidata.org/entity/Q23759067,en,literal,Benjen Stark
uri,http://www.wikidata.org/entity/Q23758916,en,literal,Maron Greyjoy
uri,http://www.wikidata.org/entity/Q23759020,en,literal,Rickard Stark
uri,http://www.wikidata.org/entity/Q23759424,en,literal,Rhea Florent
uri,http://www.wikidata.org/entity/Q5991029,en,literal,Mance Rayder
uri,http://www.wikidata.org/entity/Q259818,en,literal,Eddard Stark
uri,http://www.wikidata.org/entity/Q19799441,en,literal,Asha Greyjoy
uri,http://www.wikidata.org/entity/Q19799435,en,literal,Myrcella Baratheon
uri,http://www.wikidata.org/entity/Q3183235,en,literal,Jon Snow
uri,http://www.wikidata.org/entity/Q11680307,en,literal,Brienne of Tarth
